ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
INCIDENTE GRAVE;SAO PAULO;SP;SBSP;09/10/2022;16:30:00;0
INCIDENTE;VITORIA;ES;SBVT;09/10/2022;16:20:00;0
INCIDENTE GRAVE;AMERICANA;SP;SDAI;06/10/2022;15:30:00;0
INCIDENTE;BELO HORIZONTE;MG;SBBH;06/10/2022;00:44:00;0
INCIDENTE;MANAUS;AM;SBEG;05/10/2022;20:56:00;0
ACIDENTE;PORTO ALEGRE;RS;***;03/10/2022;20:50:00;0
INCIDENTE;LOBATO;PR;***;03/10/2022;15:38:00;0
ACIDENTE;NOVA BANDEIRANTES;MT;***;02/10/2022;19:00:00;0
INCIDENTE GRAVE;NAVIRAI;MS;**NI;01/10/2022;10:10:00;0
INCIDENTE;LINHARES;ES;***;30/09/2022;12:20:00;0
INCIDENTE GRAVE;GOIANIA;GO;SBNV;30/09/2022;13:40:00;0
INCIDENTE;UBERLANDIA;MG;SBUL;28/09/2022;12:55:00;0
ACIDENTE;BOA VISTA;RR;***;27/09/2022;00:00:00;0
INCIDENTE GRAVE;ARACATUBA;SP;SBAU;26/09/2022;18:30:00;0
INCIDENTE;BRAGANCA PAULISTA;SP;SBBP;25/09/2022;20:00:00;0
ACIDENTE;LONTRAS;SC;***;24/09/2022;20:05:00;0
INCIDENTE;TERESINA;PI;SBTE;22/09/2022;09:50:00;0
INCIDENTE;QUERENCIA;MT;***;22/09/2022;18:00:00;0
